MicrorregiõesIBGE;Pop_2020;Infeccaocovid;mortalidadecovid;PIBpercapita;Rendamediapercapita;Taxa_Analfabetismo;Instalacoessanitarias;taxa_insta_san;Abastecimentodeagua;taxaabste_agua;Coletadelixo;taxacoleta_lixo;ESF2020_Dez;CoberturaESF;Medicos_total;taxamedicos;Enfermeiros;taxa_enfer;Fisioterapeutas;taxa_fisio;ACS;taxa_acs;Leitosdeinternacao;taxa_leitos_interpormil;LeitosUTI;taxa_UTI;EquipamentosRaioX;taxaEquip_raioxpormil;EquipamentosTomografoComputadorizado;taxaEquip_tomografopormil;Resp_VentEquipamentos_Existentes;taxaventiladorespormil;taxainf;taxamortal
43012 Não-Me-Toque;44094,00;1905,00;35,00;46700,41;942,24;0,99;3533,00;80,12;12965,00;0,29;11765,00;0,27;15,00;1,02;49,00;1,11;50,00;1,13;18,00;0,41;93,00;2,11;143,00;3,24;57,00;1,29;#NULO!;0,00;#NULO!;0,00;6,00;0,14;43,20;0,79
43013 Soledade;72552,00;1741,00;36,00;16359,17;617,23;2,03;19247,00;265,29;15447,00;0,21;13416,00;0,18;23,00;0,95;59,00;0,81;52,00;0,72;25,00;0,34;151,00;2,08;96,00;1,32;4,00;0,06;6,00;0,08;1,00;0,01;5,00;0,07;24,00;0,50
43014 Guaporé;141389,00;8504,00;69,00;30913,39;951,92;0,95;26713,00;188,93;33685,00;0,24;34223,00;0,24;44,00;0,93;218,00;1,54;162,00;1,15;72,00;0,51;270,00;1,91;514,00;3,64;149,00;1,05;25,00;0,18;5,00;0,04;24,00;0,17;60,15;0,49
43015 Vacaria;164392,00;5104,00;95,00;27135,23;690,61;1,38;92811,00;564,57;40517,00;0,25;42869,00;0,26;46,00;0,84;209,00;1,27;154,00;0,94;62,00;0,38;247,00;1,50;341,00;2,07;1,00;0,01;18,00;0,11;7,00;0,04;44,00;0,27;31,05;0,58
43016 Caxias do Sul;898229,00;40205,00;574,00;42724,09;1183,60;1,01;485078,00;540,04;236126,00;0,26;212759,00;0,24;112,00;0,37;2612,00;2,91;1246,00;1,39;489,00;0,54;379,00;0,42;2118,00;2,36;2,00;0,00;126,00;0,14;36,00;0,04;388,00;0,43;44,76;0,64
43017 Santiago;112739,00;2832,00;37,00;29693,46;717,02;0,89;47094,00;417,73;31784,00;0,28;28868,00;0,26;31,00;0,82;139,00;1,23;106,00;0,94;64,00;0,57;170,00;1,51;292,00;2,59;27,00;0,24;8,00;0,07;2,00;0,02;16,00;0,14;25,12;0,33
43018 Santa Maria;384324,00;13146,00;193,00;20595,44;970,97;1,38;194193,00;505,28;104661,00;0,27;87481,00;0,23;55,00;0,43;1038,00;2,70;881,00;2,29;252,00;0,66;289,00;0,75;1222,00;3,18;3,00;0,01;62,00;0,16;19,00;0,05;138,00;0,36;34,21;0,50
43019 Restinga Seca;61736,00;898,00;9,00;20276,72;745,73;0,94;11228,00;181,87;12417,00;0,20;14109,00;0,23;18,00;0,87;277,00;4,49;111,00;1,80;58,00;0,94;88,00;1,43;313,00;5,07;28,00;0,45;12,00;0,19;3,00;0,05;19,00;0,31;14,55;0,15
43020 S. Cruz do Sul;348371,00;9119,00;83,00;35696,55;802,57;1,35;118095,00;338,99;83506,00;0,24;87847,00;0,25;71,00;0,61;701,00;2,01;427,00;1,23;177,00;0,51;405,00;1,16;890,00;2,55;1,00;0,00;32,00;0,09;13,00;0,04;81,00;0,23;26,18;0,24
43021 Lajeado-Estrela;339682,00;16765,00;199,00;29653,34;909,29;0,69;29242,00;86,09;89405,00;0,26;94938,00;0,28;76,00;0,67;776,00;2,28;541,00;1,59;182,00;0,54;407,00;1,20;961,00;2,83;34,00;0,10;0,00;0,00;0,00;0,00;94,00;0,28;49,35;0,59
43022 Cachoeira Sul;152342,00;3000,00;48,00;19931,90;695,86;1,01;43911,00;288,24;42038,00;0,28;44959,00;0,30;26,00;0,51;299,00;1,96;200,00;1,31;67,00;0,44;179,00;1,17;363,00;2,38;197,00;1,29;12,00;0,08;2,00;0,01;71,00;0,47;19,69;0,32
43023 Montenegro;231062,00;8532,00;118,00;30586,43;810,17;1,06;65692,00;284,30;45889,00;0,20;63586,00;0,28;51,00;0,66;462,00;2,00;268,00;1,16;78,00;0,34;272,00;1,18;485,00;2,10;2,00;0,01;22,00;0,10;5,00;0,02;59,00;0,26;36,93;0,51
43024 Gramado-Canela;338797,00;15747,00;255,00;29232,72;852,45;0,79;94313,00;278,38;75821,00;0,22;94269,00;0,28;68,00;0,60;616,00;1,82;361,00;1,07;123,00;0,36;314,00;0,93;611,00;1,80;37,00;0,11;0,00;0,00;0,00;0,00;90,00;0,27;46,48;0,75
43025 S. Jerônimo;158153,00;4411,00;122,00;54542,32;661,09;1,24;41561,00;262,79;35860,00;0,23;39313,00;0,25;42,00;0,80;185,00;1,17;136,00;0,86;47,00;0,30;241,00;1,52;277,00;1,75;1919,00;12,13;13,00;0,08;5,00;0,03;14,00;0,09;27,89;0,77
43026 Porto Alegre;3905047,00;169134,00;4384,00;31997,18;1157,04;1,15;2549948,00;652,99;1110111,00;0,28;1182288,00;0,30;660,00;0,51;13930,00;3,57;7133,00;1,83;1791,00;0,46;2036,00;0,52;9930,00;2,54;57,00;0,01;423,00;0,11;115,00;0,03;2058,00;0,53;43,31;1,12
43027 Osório;401896,00;18018,00;385,00;19014,16;765,16;1,51;61524,00;153,08;79591,00;0,20;100179,00;0,25;88,00;0,66;651,00;1,62;518,00;1,29;148,00;0,37;454,00;1,13;492,00;1,22;199,00;0,50;41,00;0,10;11,00;0,03;113,00;0,28;44,83;0,96
43028 Camaquã;139917,00;3695,00;93,00;18787,97;586,60;1,43;57720,00;412,53;28404,00;0,20;30745,00;0,22;28,00;0,60;204,00;1,46;148,00;1,06;43,00;0,31;139,00;0,99;256,00;1,83;4,00;0,03;22,00;0,16;5,00;0,04;35,00;0,25;26,41;0,66
43029 Campanha Ocid.;357196,00;9500,00;168,00;19503,61;648,41;0,95;155179,00;434,44;99482,00;0,28;97199,00;0,27;88,00;0,74;440,00;1,23;393,00;1,10;129,00;0,36;296,00;0,83;651,00;1,82;124,00;0,35;30,00;0,08;10,00;0,03;99,00;0,28;26,60;0,47
43030 Campanha Centr.;180360,00;5837,00;99,00;17502,25;656,48;1,82;79979,00;443,44;53229,00;0,30;52270,00;0,29;35,00;0,58;237,00;1,31;154,00;0,85;69,00;0,38;213,00;1,18;473,00;2,62;6,00;0,03;15,00;0,08;14,00;0,08;76,00;0,42;32,36;0,55
43031 Campanha Merid.;178896,00;3528,00;63,00;19490,17;730,56;1,41;101943,00;569,85;52489,00;0,29;51600,00;0,29;41,00;0,69;274,00;1,53;199,00;1,11;81,00;0,45;194,00;1,08;459,00;2,57;81,00;0,45;19,00;0,11;5,00;0,03;62,00;0,35;19,72;0,35
43032 Serras Sudeste;119160,00;2095,00;44,00;15234,97;544,61;1,52;47093,00;395,21;28342,00;0,24;27211,00;0,23;31,00;0,78;113,00;0,95;114,00;0,96;28,00;0,23;192,00;1,61;285,00;2,39;21,00;0,18;12,00;0,10;4,00;0,03;15,00;0,13;17,58;0,37
43033 Pelotas;503075,00;13497,00;351,00;16651,68;779,52;1,47;212393,00;422,19;135873,00;0,27;126660,00;0,25;113,00;0,67;1463,00;2,91;904,00;1,80;221,00;0,44;481,00;0,96;1481,00;2,94;2563,00;5,09;61,00;0,12;14,00;0,03;197,00;0,39;26,83;0,70
43034 Jaguarão;51552,00;823,00;12,00;19101,86;595,51;1,41;21376,00;414,65;16644,00;0,32;16002,00;0,31;13,00;0,76;56,00;1,09;55,00;1,07;16,00;0,31;72,00;1,40;156,00;3,03;7,00;0,14;7,00;0,14;2,00;0,04;3,00;0,06;15,96;0,23
