MicrorregiõesIBGE;Pop_2020;Infeccaocovid;mortalidadecovid;PIBpercapita;Rendamediapercapita;Taxa_Analfabetismo;Instalacoessanitarias;taxa_insta_san;Abastecimentodeagua;taxaabste_agua;Coletadelixo;taxacoleta_lixo;ESF2020_Dez;CoberturaESF;Medicos_total;taxamedicos;Enfermeiros;taxa_enfer;Fisioterapeutas;taxa_fisio;ACS;taxa_acs;Leitosdeinternacao;taxa_leitos_interpormil;LeitosUTI;taxa_UTI;EquipamentosRaioX;taxaEquip_raioxpormil;EquipamentosTomografoComputadorizado;taxaEquip_tomografopormil;Resp_VentEquipamentos_Existentes;taxaventiladorespormil;taxainf;taxamortal
22005 M.Parnaíba PI;135185,00;5267,00;123,00;5546,90;268,33;7,50;1931,00;14,28;27585,00;0,20;17183,00;0,13;63,00;1,40;79,00;0,58;134,00;0,99;43,00;0,32;360,00;2,66;228,00;1,69;123,00;0,91;4,00;0,03;0,00;0,00;4,00;0,03;38,96;0,91
22006 Valença PI;106797,00;3598,00;78,00;5565,13;267,20;5,93;1248,00;11,69;23528,00;0,22;15787,00;0,15;52,00;1,46;56,00;0,52;109,00;1,02;44,00;0,41;292,00;2,73;194,00;1,82;5,00;0,05;3,00;0,03;1,00;0,01;3,00;0,03;33,69;0,73
22007 A.Parnaíba PI;46956,00;3994,00;49,00;27728,53;282,85;6,45;461,00;9,82;7611,00;0,16;3493,00;0,07;22,00;1,41;28,00;0,60;38,00;0,81;19,00;0,40;122,00;2,60;75,00;1,60;9,00;0,19;2,00;0,04;0,00;0,00;7,00;0,15;85,06;1,04
22008 Bertolínia;42327,00;1650,00;30,00;8922,98;272,58;6,67;478,00;11,29;9173,00;0,22;4497,00;0,11;21,00;1,49;19,00;0,45;37,00;0,87;16,00;0,38;115,00;2,72;45,00;1,06;61,00;1,44;1,00;0,02;0,00;0,00;#NULO!;0,00;38,98;0,71
22009 Floriano;125026,00;5233,00;89,00;9878,02;394,22;5,55;7318,00;58,53;25774,00;0,21;19452,00;0,16;57,00;1,37;151,00;1,21;238,00;1,90;101,00;0,81;310,00;2,48;355,00;2,84;259,00;2,07;13,00;0,10;5,00;0,04;20,00;0,16;41,86;0,71
22010 A.M.Gurguéia;93676,00;3693,00;63,00;9131,01;311,00;8,08;312,00;3,33;15977,00;0,17;7360,00;0,08;44,00;1,41;65,00;0,69;104,00;1,11;28,00;0,30;228,00;2,43;111,00;1,18;2,00;0,02;2,00;0,02;1,00;0,01;4,00;0,04;39,42;0,67
22011 S.Raim.Nonato;142812,00;4644,00;81,00;5828,72;265,55;7,33;640,00;4,48;17412,00;0,12;12879,00;0,09;65,00;1,37;77,00;0,54;122,00;0,85;50,00;0,35;374,00;2,62;333,00;2,33;3,00;0,02;6,00;0,04;2,00;0,01;9,00;0,06;32,52;0,57
22012 Chap.Ext.Sul PI;86533,00;1951,00;42,00;6184,52;259,87;8,29;1969,00;22,75;11737,00;0,14;8314,00;0,10;42,00;1,46;62,00;0,72;84,00;0,97;16,00;0,18;257,00;2,97;150,00;1,73;29,00;0,34;4,00;0,05;0,00;0,00;2,00;0,02;22,55;0,49
22013 Picos;208926,00;10058,00;169,00;8707,65;383,58;5,42;23596,00;112,94;45208,00;0,22;32793,00;0,16;98,00;1,41;265,00;1,27;286,00;1,37;144,00;0,69;514,00;2,46;684,00;3,27;25,00;0,12;20,00;0,10;7,00;0,03;31,00;0,15;48,14;0,81
22014 Pio IX;60993,00;1304,00;19,00;5055,22;272,13;6,89;2474,00;40,56;9224,00;0,15;5730,00;0,09;30,00;1,48;22,00;0,36;46,00;0,75;17,00;0,28;141,00;2,31;114,00;1,87;2,00;0,03;2,00;0,03;0,00;0,00;#NULO!;0,00;21,38;0,31
22015 A.M.Canindé;274450,00;7093,00;101,00;5944,45;253,12;7,78;9566,00;34,86;33732,00;0,12;20744,00;0,08;132,00;1,44;161,00;0,59;237,00;0,86;86,00;0,31;731,00;2,66;534,00;1,95;22,00;0,08;9,00;0,03;2,00;0,01;13,00;0,05;25,84;0,37
23001 Camocim/Acaraú;391710,00;15016,00;330,00;6447,88;233,55;4,86;30032,00;76,67;57402,00;0,15;31539,00;0,08;144,00;1,10;268,00;0,68;398,00;1,02;79,00;0,20;901,00;2,30;454,00;1,16;8,00;0,02;21,00;0,05;3,00;0,01;19,00;0,05;38,33;0,84
23002 Ibiapaba;322809,00;12202,00;254,00;7211,69;273,48;3,27;37227,00;115,32;54352,00;0,17;15106,00;0,05;126,00;1,17;187,00;0,58;308,00;0,95;55,00;0,17;614,00;1,90;372,00;1,15;5,00;0,02;17,00;0,05;2,00;0,01;21,00;0,07;37,80;0,79
23003 Coreaú;60067,00;4097,00;54,00;5408,46;205,19;5,63;7665,00;127,61;9962,00;0,17;2815,00;0,05;29,00;1,45;23,00;0,38;64,00;1,07;17,00;0,28;159,00;2,65;58,00;0,97;32,00;0,53;2,00;0,03;0,00;0,00;#NULO!;0,00;68,21;0,90
23004 Meruoca;26966,00;1332,00;24,00;4473,64;251,13;2,03;2786,00;103,32;2706,00;0,10;366,00;0,01;13,00;1,45;14,00;0,52;29,00;1,08;7,00;0,26;62,00;2,30;20,00;0,74;1653,00;61,30;0,00;0,00;0,00;0,00;1,00;0,04;49,40;0,89
23005 Sobral;417859,00;21000,00;555,00;10911,87;331,88;3,22;172204,00;412,11;84487,00;0,20;56917,00;0,14;154,00;1,11;537,00;1,29;628,00;1,50;158,00;0,38;881,00;2,11;1054,00;2,52;6,00;0,01;36,00;0,09;8,00;0,02;309,00;0,74;50,26;1,33
23006 Ipu;140376,00;7195,00;117,00;5713,37;251,28;4,97;9890,00;70,45;29126,00;0,21;12013,00;0,09;60,00;1,28;53,00;0,38;166,00;1,18;36,00;0,26;367,00;2,61;257,00;1,83;33,00;0,24;10,00;0,07;0,00;0,00;6,00;0,04;51,26;0,83
23007 Santa Quitéria;74140,00;3160,00;40,00;6320,80;231,63;3,60;4880,00;65,82;12426,00;0,17;1710,00;0,02;26,00;1,05;29,00;0,39;77,00;1,04;18,00;0,24;203,00;2,74;118,00;1,59;127,00;1,71;2,00;0,03;0,00;0,00;1,00;0,01;42,62;0,54
23008 Itapipoca;230659,00;5473,00;190,00;8828,04;230,53;4,00;32664,00;141,61;24142,00;0,10;17494,00;0,08;73,00;0,95;125,00;0,54;219,00;0,95;33,00;0,14;485,00;2,10;254,00;1,10;41,00;0,18;9,00;0,04;4,00;0,02;33,00;0,14;23,73;0,82
23009 Baixo Curu;117165,00;5591,00;133,00;13016,18;300,02;3,10;18029,00;153,88;14136,00;0,12;14424,00;0,12;41,00;1,05;78,00;0,67;106,00;0,90;28,00;0,24;293,00;2,50;108,00;0,92;45,00;0,38;10,00;0,09;2,00;0,02;8,00;0,07;47,72;1,14
23010 Uruburetama;111441,00;2967,00;134,00;7917,00;232,74;4,43;14335,00;128,63;19466,00;0,17;13637,00;0,12;43,00;1,16;47,00;0,42;112,00;1,01;16,00;0,14;241,00;2,16;87,00;0,78;14,00;0,13;6,00;0,05;1,00;0,01;#NULO!;0,00;26,62;1,20
23011 Médio Curu;92681,00;2307,00;74,00;6822,10;237,58;5,97;6837,00;73,77;16873,00;0,18;8960,00;0,10;39,00;1,26;45,00;0,49;84,00;0,91;19,00;0,21;205,00;2,21;121,00;1,31;82,00;0,88;2,00;0,02;0,00;0,00;5,00;0,05;24,89;0,80
23012 Canindé;134114,00;3954,00;123,00;5456,24;238,80;5,07;14621,00;109,02;22292,00;0,17;5656,00;0,04;41,00;0,92;82,00;0,61;136,00;1,01;27,00;0,20;292,00;2,18;184,00;1,37;1,00;0,01;7,00;0,05;1,00;0,01;9,00;0,07;29,48;0,92
23013 Baturité;198566,00;7945,00;161,00;6152,22;252,09;4,38;27529,00;138,64;30974,00;0,16;14224,00;0,07;82,00;1,24;164,00;0,83;225,00;1,13;51,00;0,26;465,00;2,34;259,00;1,30;2,00;0,01;9,00;0,05;1,00;0,01;28,00;0,14;40,01;0,81
23014 Chorozinho;68680,00;1676,00;61,00;5041,03;238,13;5,11;3455,00;50,31;9920,00;0,14;3124,00;0,05;30,00;1,31;56,00;0,82;64,00;0,93;16,00;0,23;148,00;2,15;56,00;0,82;66,00;0,96;2,00;0,03;0,00;0,00;2,00;0,03;24,40;0,89
23015 Cascavel CE;146950,00;3729,00;140,00;8933,65;301,73;3,78;5847,00;39,79;13027,00;0,09;19490,00;0,13;47,00;0,96;105,00;0,71;128,00;0,87;33,00;0,22;300,00;2,04;116,00;0,79;13,00;0,09;6,00;0,04;1,00;0,01;11,00;0,07;25,38;0,95
23016 Fortaleza;3696069,00;111767,00;5159,00;18993,18;689,37;3,02;1730681,00;468,25;858504,00;0,23;839871,00;0,23;747,00;0,61;8072,00;2,18;6179,00;1,67;1830,00;0,50;3495,00;0,95;10010,00;2,71;2,00;0,00;414,00;0,11;94,00;0,03;1807,00;0,49;30,24;1,40
23017 Pacajus;141717,00;4961,00;141,00;15588,72;333,53;3,16;3449,00;24,34;20636,00;0,15;20291,00;0,14;47,00;0,99;101,00;0,71;113,00;0,80;32,00;0,23;186,00;1,31;103,00;0,73;4,00;0,03;10,00;0,07;2,00;0,01;18,00;0,13;35,01;0,99
23018 Sertão Cratéus;249622,00;11982,00;204,00;5575,30;277,03;5,26;50528,00;202,42;48836,00;0,20;26670,00;0,11;97,00;1,17;151,00;0,60;257,00;1,03;72,00;0,29;602,00;2,41;421,00;1,69;2,00;0,01;14,00;0,06;3,00;0,01;27,00;0,11;48,00;0,82
23019 Quixeramobim;289730,00;10439,00;270,00;6978,28;274,92;4,76;76986,00;265,72;50421,00;0,17;28085,00;0,10;94,00;0,97;167,00;0,58;365,00;1,26;116,00;0,40;636,00;2,20;536,00;1,85;302,00;1,04;23,00;0,08;4,00;0,01;126,00;0,43;36,03;0,93
23020 Sertão Inhamuns;152513,00;4801,00;112,00;5384,40;250,78;4,77;21181,00;138,88;26385,00;0,17;14690,00;0,10;65,00;1,28;99,00;0,65;172,00;1,13;63,00;0,41;396,00;2,60;289,00;1,89;25,00;0,16;18,00;0,12;2,00;0,01;12,00;0,08;31,48;0,73
23021 Senador Pompeu;225351,00;6387,00;186,00;5399,15;248,50;6,03;38109,00;169,11;41197,00;0,18;21040,00;0,09;96,00;1,28;91,00;0,40;199,00;0,88;40,00;0,18;570,00;2,53;378,00;1,68;268,00;1,19;12,00;0,05;0,00;0,00;9,00;0,04;28,34;0,83
23022 Litoral Aracati;119532,00;3696,00;80,00;12112,19;317,95;3,33;2807,00;23,48;22639,00;0,19;20139,00;0,17;41,00;1,03;149,00;1,25;208,00;1,74;46,00;0,38;212,00;1,77;169,00;1,41;5,00;0,04;10,00;0,08;2,00;0,02;15,00;0,13;30,92;0,67
23023 Baixo Jaguaribe;334292,00;14860,00;259,00;10780,66;324,38;4,27;35805,00;107,11;71914,00;0,22;49676,00;0,15;124,00;1,11;183,00;0,55;350,00;1,05;103,00;0,31;737,00;2,20;833,00;2,49;1,00;0,00;26,00;0,08;5,00;0,01;33,00;0,10;44,45;0,77
23024 Médio Jaguaribe;64275,00;3000,00;63,00;9024,65;271,83;5,42;23021,00;358,16;13922,00;0,22;7616,00;0,12;27,00;1,26;45,00;0,70;66,00;1,03;20,00;0,31;166,00;2,58;84,00;1,31;26,00;0,40;5,00;0,08;0,00;0,00;4,00;0,06;46,67;0,98
23025 Serra Pereiro;44319,00;2359,00;25,00;5627,12;252,30;5,23;4985,00;112,48;8346,00;0,19;4315,00;0,10;19,00;1,29;34,00;0,77;46,00;1,04;9,00;0,20;113,00;2,55;78,00;1,76;23,00;0,52;2,00;0,05;0,00;0,00;#NULO!;0,00;53,23;0,56
23026 Iguatu;234352,00;10919,00;223,00;8570,37;342,13;6,95;46633,00;198,99;52417,00;0,22;32773,00;0,14;83,00;1,06;194,00;0,83;251,00;1,07;58,00;0,25;544,00;2,32;410,00;1,75;1,00;0,00;24,00;0,10;5,00;0,02;39,00;0,17;46,59;0,95
23027 Várzea Alegre;100445,00;2535,00;73,00;5396,88;246,56;3,96;14485,00;144,21;18629,00;0,19;8311,00;0,08;41,00;1,22;54,00;0,54;75,00;0,75;12,00;0,12;261,00;2,60;126,00;1,25;16,00;0,16;5,00;0,05;0,00;0,00;#NULO!;0,00;25,24;0,73
23028 Lavr.Mangabeira;58016,00;1823,00;41,00;5081,52;281,36;7,83;7286,00;125,59;10066,00;0,17;4773,00;0,08;20,00;1,03;29,00;0,50;45,00;0,78;9,00;0,16;153,00;2,64;113,00;1,95;3,00;0,05;2,00;0,03;0,00;0,00;#NULO!;0,00;31,42;0,71
23029 Chap.Araripe;100343,00;2523,00;37,00;6071,57;242,30;4,68;8744,00;87,14;14832,00;0,15;8201,00;0,08;41,00;1,23;53,00;0,53;87,00;0,87;23,00;0,23;240,00;2,39;169,00;1,68;35,00;0,35;8,00;0,08;0,00;0,00;5,00;0,05;25,14;0,37
23030 Caririaçu;58840,00;2549,00;48,00;5147,10;234,61;3,73;2752,00;46,77;10901,00;0,19;8196,00;0,14;27,00;1,38;48,00;0,82;69,00;1,17;19,00;0,32;145,00;2,46;120,00;2,04;15,00;0,25;4,00;0,07;0,00;0,00;1,00;0,02;43,32;0,82
23031 Barro;95536,00;2862,00;73,00;5513,71;241,63;4,05;8948,00;93,66;15202,00;0,16;7850,00;0,08;43,00;1,35;54,00;0,57;81,00;0,85;25,00;0,26;224,00;2,34;197,00;2,06;5,00;0,05;4,00;0,04;0,00;0,00;2,00;0,02;29,96;0,76
23032 Cariri;581538,00;30552,00;545,00;10069,94;395,39;3,54;149181,00;256,53;121518,00;0,21;110441,00;0,19;203,00;1,05;979,00;1,68;662,00;1,14;248,00;0,43;1094,00;1,88;1644,00;2,83;42,00;0,07;50,00;0,09;24,00;0,04;203,00;0,35;52,54;0,94
23033 Brejo Santo;106430,00;4360,00;64,00;6291,53;283,84;4,86;31839,00;299,15;18893,00;0,18;11670,00;0,11;45,00;1,27;133,00;1,25;133,00;1,25;37,00;0,35;254,00;2,39;382,00;3,59;6,00;0,06;15,00;0,14;3,00;0,03;9,00;0,08;40,97;0,60
24001 Mossoró;384018,00;13332,00;350,00;23470,75;537,63;3,57;104315,00;271,64;83698,00;0,22;80116,00;0,21;101,00;0,79;603,00;1,57;479,00;1,25;161,00;0,42;594,00;1,55;917,00;2,39;22,00;0,06;37,00;0,10;10,00;0,03;188,00;0,49;34,72;0,91
24002 Chap.Apodi;75488,00;5168,00;71,00;15389,83;326,19;5,68;1959,00;25,95;13706,00;0,18;8974,00;0,12;26,00;1,03;38,00;0,50;69,00;0,91;20,00;0,26;182,00;2,41;121,00;1,60;765,00;10,13;6,00;0,08;0,00;0,00;5,00;0,07;68,46;0,94
24003 Médio Oeste;41318,00;1411,00;25,00;8997,23;292,76;6,95;1269,00;30,71;7546,00;0,18;3846,00;0,09;19,00;1,38;17,00;0,41;42,00;1,02;13,00;0,31;107,00;2,59;61,00;1,48;30,00;0,73;1,00;0,02;0,00;0,00;#NULO!;0,00;34,15;0,61
24004 Vale do Açu;155501,00;6028,00;170,00;15746,32;364,35;6,15;16718,00;107,51;33269,00;0,21;28690,00;0,18;58,00;1,12;125,00;0,80;158,00;1,02;42,00;0,27;331,00;2,13;180,00;1,16;36,00;0,23;13,00;0,08;1,00;0,01;18,00;0,12;38,77;1,09
24005 Serra S.Miguel;67194,00;2124,00;38,00;6219,06;258,30;4,95;3011,00;44,81;14710,00;0,22;6594,00;0,10;28,00;1,25;31,00;0,46;64,00;0,95;15,00;0,22;132,00;1,96;159,00;2,37;69,00;1,03;2,00;0,03;0,00;0,00;6,00;0,09;31,61;0,57
24006 Pau dos Ferros;117909,00;4725,00;56,00;7632,48;334,38;6,93;26000,00;220,51;27012,00;0,23;19254,00;0,16;54,00;1,37;142,00;1,20;190,00;1,61;59,00;0,50;293,00;2,48;526,00;4,46;21,00;0,18;17,00;0,14;3,00;0,03;26,00;0,22;40,07;0,47
24007 Umarizal;66939,00;2561,00;28,00;6496,54;290,57;7,55;5193,00;77,58;14315,00;0,21;7617,00;0,11;31,00;1,39;39,00;0,58;64,00;0,96;29,00;0,43;165,00;2,46;205,00;3,06;2,00;0,03;4,00;0,06;0,00;0,00;5,00;0,07;38,26;0,42
24008 Macau;60125,00;1506,00;46,00;19832,26;396,71;7,91;22974,00;382,10;12288,00;0,20;12658,00;0,21;24,00;1,20;58,00;0,96;69,00;1,15;21,00;0,35;132,00;2,20;110,00;1,83;1,00;0,02;6,00;0,10;0,00;0,00;14,00;0,23;25,05;0,77
24009 Angicos;52557,00;1031,00;23,00;6770,51;280,85;7,75;14208,00;270,34;10626,00;0,20;7934,00;0,15;27,00;1,54;26,00;0,49;53,00;1,01;13,00;0,25;130,00;2,47;85,00;1,62;40,00;0,76;2,00;0,04;0,00;0,00;1,00;0,02;19,62;0,44
24010 Serra Santana;63338,00;1048,00;15,00;10491,41;274,36;5,59;19456,00;307,18;13129,00;0,21;9159,00;0,14;29,00;1,37;31,00;0,49;64,00;1,01;18,00;0,28;147,00;2,32;90,00;1,42;1,00;0,02;2,00;0,03;0,00;0,00;1,00;0,02;16,55;0,24
24011 Seridó Ocid.;105853,00;7048,00;89,00;12669,35;513,54;3,48;50498,00;477,06;25299,00;0,24;18671,00;0,18;40,00;1,13;164,00;1,55;142,00;1,34;30,00;0,28;233,00;2,20;239,00;2,26;2,00;0,02;13,00;0,12;2,00;0,02;33,00;0,31;66,58;0,84
24012 Seridó Oriental;124410,00;3628,00;48,00;10155,32;431,08;2,80;75305,00;605,30;30029,00;0,24;29056,00;0,23;49,00;1,18;139,00;1,12;149,00;1,20;44,00;0,35;300,00;2,41;337,00;2,71;1,00;0,01;12,00;0,10;2,00;0,02;10,00;0,08;29,16;0,39
24013 Baixa Verde;68381,00;1351,00;21,00;10913,90;290,27;9,03;6139,00;89,78;12981,00;0,19;11171,00;0,16;29,00;1,27;35,00;0,51;67,00;0,98;17,00;0,25;156,00;2,28;88,00;1,29;9,00;0,13;1,00;0,01;0,00;0,00;4,00;0,06;19,76;0,31
24014 Borborema RN;143789,00;3654,00;70,00;6294,22;267,98;6,65;52695,00;366,47;26459,00;0,18;24440,00;0,17;61,00;1,27;149,00;1,04;181,00;1,26;70,00;0,49;338,00;2,35;306,00;2,13;340,00;2,36;5,00;0,03;0,00;0,00;29,00;0,20;25,41;0,49
24015 Agreste RN;253196,00;5119,00;137,00;6895,20;270,65;8,28;34833,00;137,57;49216,00;0,19;41013,00;0,16;112,00;1,33;175,00;0,69;248,00;0,98;66,00;0,26;566,00;2,24;276,00;1,09;10,00;0,04;11,00;0,04;1,00;0,00;20,00;0,08;20,22;0,54
24016 Litoral NE;92534,00;1548,00;51,00;8353,48;249,33;8,10;3505,00;37,88;16504,00;0,18;11248,00;0,12;43,00;1,39;49,00;0,53;98,00;1,06;19,00;0,21;210,00;2,27;51,00;0,55;778,00;8,41;3,00;0,03;0,00;0,00;#NULO!;0,00;16,73;0,55
24017 Macaíba;331553,00;7924,00;250,00;11578,52;341,24;7,57;58593,00;176,72;62084,00;0,19;59179,00;0,18;112,00;1,01;292,00;0,88;305,00;0,92;69,00;0,21;482,00;1,45;353,00;1,06;5,00;0,02;13,00;0,04;0,00;0,00;23,00;0,07;23,90;0,75
24018 Natal;1186452,00;45909,00;1438,00;21275,95;891,94;3,68;253627,00;213,77;295006,00;0,25;285444,00;0,24;215,00;0,54;3221,00;2,71;1880,00;1,58;468,00;0,39;1184,00;1,00;3654,00;3,08;78,00;0,07;126,00;0,11;29,00;0,02;727,00;0,61;38,69;1,21
24019 Litoral Sul RN;143610,00;3238,00;67,00;10488,46;294,85;7,25;14058,00;97,89;29102,00;0,20;24684,00;0,17;63,00;1,32;91,00;0,63;123,00;0,86;32,00;0,22;331,00;2,30;103,00;0,72;30,00;0,21;8,00;0,06;0,00;0,00;4,00;0,03;22,55;0,47
25001 Catolé do Rocha;123679,00;6915,00;89,00;7179,81;303,18;5,24;47746,00;386,05;23913,00;0,19;19442,00;0,16;48,00;1,16;96,00;0,78;163,00;1,32;51,00;0,41;291,00;2,35;216,00;1,75;81,00;0,65;8,00;0,06;2,00;0,02;10,00;0,08;55,91;0,72
25002 Cajazeiras;178104,00;6567,00;142,00;8885,73;368,42;4,48;62249,00;349,51;33353,00;0,19;25426,00;0,14;80,00;1,35;269,00;1,51;330,00;1,85;99,00;0,56;412,00;2,31;331,00;1,86;39,00;0,22;14,00;0,08;5,00;0,03;47,00;0,26;36,87;0,80
25003 Sousa;190043,00;7687,00;121,00;8640,94;348,12;4,04;77245,00;406,46;38812,00;0,20;31867,00;0,17;84,00;1,33;170,00;0,89;268,00;1,41;67,00;0,35;459,00;2,42;310,00;1,63;236,00;1,24;20,00;0,11;5,00;0,03;30,00;0,16;40,45;0,64
25004 Patos;135227,00;7619,00;127,00;10172,59;450,02;4,68;93049,00;688,09;30976,00;0,23;29027,00;0,21;54,00;1,20;197,00;1,46;309,00;2,29;75,00;0,55;314,00;2,32;330,00;2,44;12,00;0,09;16,00;0,12;6,00;0,04;66,00;0,49;56,34;0,94
25005 Piancó;71129,00;1311,00;40,00;6718,74;285,15;6,98;22847,00;321,21;13968,00;0,20;10473,00;0,15;33,00;1,39;77,00;1,08;144,00;2,02;45,00;0,63;194,00;2,73;181,00;2,54;261,00;3,67;7,00;0,10;0,00;0,00;6,00;0,08;18,43;0,56
25006 Itaporanga;85901,00;3445,00;45,00;6757,73;277,08;9,32;20304,00;236,37;14909,00;0,17;11466,00;0,13;39,00;1,36;75,00;0,87;139,00;1,62;33,00;0,38;240,00;2,79;158,00;1,84;35,00;0,41;8,00;0,09;2,00;0,02;8,00;0,09;40,10;0,52
25007 Serra Teixeira;122625,00;2508,00;52,00;5803,82;251,43;5,53;31452,00;256,49;18970,00;0,15;11088,00;0,09;60,00;1,47;95,00;0,77;150,00;1,22;47,00;0,38;293,00;2,39;148,00;1,21;64,00;0,52;5,00;0,04;1,00;0,01;7,00;0,06;20,45;0,42
25008 Seridó Ocid.PB;41242,00;1160,00;24,00;7641,02;333,62;4,90;26216,00;635,66;8699,00;0,21;8292,00;0,20;18,00;1,31;37,00;0,90;79,00;1,92;13,00;0,32;100,00;2,42;62,00;1,50;29,00;0,70;3,00;0,07;0,00;0,00;3,00;0,07;28,13;0,58
25009 Seridó Or.PB;79590,00;1475,00;12,00;6330,28;265,66;4,06;27982,00;351,58;11299,00;0,14;11031,00;0,14;35,00;1,32;52,00;0,65;96,00;1,21;27,00;0,34;190,00;2,39;196,00;2,46;36,00;0,45;4,00;0,05;0,00;0,00;5,00;0,06;18,53;0,15
25010 Cariri Ocid.;128799,00;3952,00;46,00;7205,30;306,29;3,69;40984,00;318,20;23023,00;0,18;19398,00;0,15;55,00;1,28;94,00;0,73;188,00;1,46;50,00;0,39;318,00;2,47;228,00;1,77;138,00;1,07;14,00;0,11;3,00;0,02;32,00;0,25;30,68;0,36
25011 Cariri Oriental;67264,00;2208,00;24,00;7079,95;294,41;3,73;15845,00;235,56;9411,00;0,14;8472,00;0,13;33,00;1,47;53,00;0,79;92,00;1,37;34,00;0,51;171,00;2,54;35,00;0,52;2532,00;37,64;2,00;0,03;0,00;0,00;3,00;0,04;32,83;0,36
25012 Curimataú Ocid.;129109,00;3051,00;40,00;7236,42;271,51;5,50;38495,00;298,16;21616,00;0,17;23138,00;0,18;58,00;1,35;66,00;0,51;157,00;1,22;30,00;0,23;316,00;2,45;175,00;1,36;90,00;0,70;5,00;0,04;1,00;0,01;4,00;0,03;23,63;0,31
25013 Curimataú Or.;96368,00;2951,00;52,00;6055,96;242,99;5,61;15044,00;156,11;16441,00;0,17;13713,00;0,14;42,00;1,31;68,00;0,71;89,00;0,92;24,00;0,25;245,00;2,54;59,00;0,61;2,00;0,02;4,00;0,04;0,00;0,00;5,00;0,05;30,62;0,54
25014 Esperança;57692,00;1645,00;26,00;8005,51;292,84;3,02;24563,00;425,76;9815,00;0,17;7686,00;0,13;23,00;1,20;36,00;0,62;58,00;1,01;21,00;0,36;144,00;2,50;26,00;0,45;50,00;0,87;2,00;0,03;0,00;0,00;4,00;0,07;28,51;0,45
25015 Brejo PB;115731,00;3877,00;57,00;8149,51;266,99;5,62;32284,00;278,96;18374,00;0,16;14334,00;0,12;50,00;1,30;88,00;0,76;129,00;1,11;21,00;0,18;298,00;2,57;154,00;1,33;2,00;0,02;6,00;0,05;1,00;0,01;7,00;0,06;33,50;0,49
25016 Guarabira;171646,00;11378,00;173,00;8009,55;307,13;6,99;62129,00;361,96;37444,00;0,22;33536,00;0,20;73,00;1,28;220,00;1,28;214,00;1,25;58,00;0,34;431,00;2,51;253,00;1,47;25,00;0,15;15,00;0,09;4,00;0,02;15,00;0,09;66,29;1,01
25017 Campina Grande;536714,00;19494,00;518,00;14397,60;540,61;3,39;326238,00;607,84;129176,00;0,24;124485,00;0,23;168,00;0,94;1325,00;2,47;945,00;1,76;356,00;0,66;875,00;1,63;1918,00;3,57;177,00;0,33;102,00;0,19;14,00;0,03;242,00;0,45;36,32;0,97
25018 Itabaiana;111661,00;6141,00;92,00;7034,83;258,58;9,20;11040,00;98,87;19121,00;0,17;17426,00;0,16;52,00;1,40;98,00;0,88;138,00;1,24;45,00;0,40;300,00;2,69;51,00;0,46;10,00;0,09;5,00;0,04;0,00;0,00;6,00;0,05;55,00;0,82
25019 Umbuzeiro;54322,00;749,00;12,00;5812,94;206,56;7,90;7729,00;142,28;3873,00;0,07;4211,00;0,08;27,00;1,49;34,00;0,63;62,00;1,14;13,00;0,24;139,00;2,56;59,00;1,09;13,00;0,24;1,00;0,02;0,00;0,00;4,00;0,07;13,79;0,22
25020 Litoral Norte;153223,00;8324,00;140,00;8680,22;249,06;8,20;6747,00;44,03;26131,00;0,17;20693,00;0,14;65,00;1,27;135,00;0,88;231,00;1,51;49,00;0,32;360,00;2,35;130,00;0,85;607,00;3,96;6,00;0,04;0,00;0,00;13,00;0,08;54,33;0,91
25021 Sapé;140664,00;5474,00;153,00;6952,74;235,25;7,38;13611,00;96,76;22469,00;0,16;22642,00;0,16;60,00;1,28;75,00;0,53;136,00;0,97;39,00;0,28;336,00;2,39;115,00;0,82;89,00;0,63;2,00;0,01;0,00;0,00;6,00;0,04;38,92;1,09
25022 João Pessoa;1159054,00;54363,00;1602,00;18643,38;787,78;3,42;429068,00;370,19;281914,00;0,24;280987,00;0,24;308,00;0,80;3193,00;2,75;2426,00;2,09;867,00;0,75;2031,00;1,75;3504,00;3,02;18,00;0,02;171,00;0,15;53,00;0,05;630,00;0,54;46,90;1,38
25023 Litoral Sul PB;89490,00;4190,00;85,00;17738,57;247,65;7,73;3514,00;39,27;15311,00;0,17;13913,00;0,16;37,00;1,24;87,00;0,97;111,00;1,24;22,00;0,25;215,00;2,40;87,00;0,97;3,00;0,03;2,00;0,02;0,00;0,00;7,00;0,08;46,82;0,95
26001 Araripina;335907,00;8546,00;171,00;6898,30;267,54;8,32;86243,00;256,75;42764,00;0,13;31978,00;0,10;116,00;1,04;257,00;0,77;262,00;0,78;58,00;0,17;700,00;2,08;594,00;1,77;1,00;0,00;21,00;0,06;4,00;0,01;43,00;0,13;25,44;0,51
26002 Salgueiro;173486,00;5819,00;110,00;8129,50;313,18;5,36;67719,00;390,34;28728,00;0,17;24615,00;0,14;63,00;1,09;187,00;1,08;236,00;1,36;32,00;0,18;408,00;2,35;404,00;2,33;11,00;0,06;11,00;0,06;3,00;0,02;9,00;0,05;33,54;0,63
26003 Pajeú;333724,00;14880,00;235,00;8083,71;322,78;4,48;163591,00;490,20;61779,00;0,19;54534,00;0,16;127,00;1,14;315,00;0,94;397,00;1,19;131,00;0,39;814,00;2,44;1051,00;3,15;45,00;0,13;37,00;0,11;6,00;0,02;88,00;0,26;44,59;0,70
